Team,Season,ORAPM,DRAPM,RAPM,Rk,School,Conf,ORtg,DRtg,NRtg,NCAA_Name,zORAPM,zDRAPM,scaledORAPM,scaledDRAPM
Abilene Christian,2020-21,5.992046944,8.053952597,14.04599954,89,Abilene Christian,Southland,0.461947674,-8.903575581,9.03,Abilene Christian,0.426630649,1.420939682,3.678247384,10.75332595
Alabama,2020-21,12.20585214,12.34590183,24.55175398,7,Alabama,SEC,11.13194767,-17.29357558,28.1,Alabama,1.340208061,2.232479218,11.55476478,16.89485981
Appalachian St.,2020-21,1.342533175,0.924122973,2.266656148,217,Appalachian State,Sun Belt,-3.698052326,3.836424419,-7.87,Appalachian St.,-0.256958653,0.072801969,-2.215399894,0.550947594
Arkansas,2020-21,12.33784146,10.0837504,22.42159186,11,Arkansas,SEC,11.85194767,-13.42357558,24.94,Arkansas,1.359613635,1.804742256,11.72207228,13.6578505
Baylor,2020-21,21.58723561,11.13613772,32.72337333,4,Baylor,Big 12,22.38194767,-10.87357558,32.92,Baylor,2.719494947,2.003732009,23.44645236,15.16375656
BYU,2020-21,11.57474702,7.544728496,19.11947551,34,Brigham Young,WCC,11.38194767,-10.43357558,21.48,Brigham Young,1.24742057,1.32465348,10.75478629,10.02465539
Clemson,2020-21,6.252994616,11.33479914,17.58779376,43,Clemson,ACC,6.981947674,-13.49357558,20.15,Clemson,0.464996174,2.041295734,4.009020367,15.4480297
Cleveland St.,2020-21,1.031528765,2.692489654,3.724018419,201,Cleveland State,Horizon,-4.058052326,-0.233575581,-4.16,Cleveland St.,-0.302683711,0.407172064,-2.609623975,3.081379162
Colgate,2020-21,14.47270502,3.711411282,18.18411631,9,Colgate,Patriot,17.54194767,-8.213575581,25.42,Colgate,1.673489443,0.599833986,14.42819026,4.539397729
Colorado,2020-21,15.008302,7.8380887,22.8463907,19,Colorado,Pac-12,14.02194767,-11.15357558,24.84,Colorado,1.75223496,1.380123242,15.10710419,10.44443707
Creighton,2020-21,14.58314803,6.820478913,21.40362695,15,Creighton,Big East,14.62194767,-10.67357558,24.96,Creighton,1.689727197,1.187709369,14.568186,8.988295668
Drake,2020-21,12.93108803,3.104686436,16.03577447,67,Drake,MVC,12.35194767,-2.853575581,14.87,Drake,1.446835015,0.485111939,12.47406188,3.671209179
Drexel,2020-21,8.441503814,-0.944976275,7.496527539,149,Drexel,CAA,4.961947674,3.176424419,1.44,Drexel,0.786759168,-0.280615058,6.783138676,-2.123626516
Eastern Wash.,2020-21,9.498906204,0.528701719,10.02760792,129,Eastern Washington,Big Sky,4.061947674,0.346424419,3.38,Eastern Washington,0.942222513,-0.00196592,8.123484576,-0.014877601
Florida,2020-21,9.481865784,6.233535759,15.71540154,30,Florida,SEC,10.80194767,-10.92357558,21.4,Florida,0.939717165,1.076727727,8.101884419,8.148413588
Florida St.,2020-21,13.41172895,7.483916741,20.89564569,13,Florida State,ACC,16.11194767,-10.61357558,26.39,Florida St.,1.517500682,1.313154941,13.08331441,9.937637251
Georgetown,2020-21,4.972460398,6.363974635,11.33643503,55,Georgetown,Big East,6.501947674,-10.83357558,17,Georgetown,0.276727134,1.10139165,2.385836226,8.335064158
Georgia Tech,2020-21,13.53277491,5.171547113,18.70432202,36,Georgia Tech,ACC,13.81194767,-7.753575581,21.24,Georgia Tech,1.535297322,0.875922515,13.23675029,6.628768582
Gonzaga,2020-21,26.26735184,12.46530718,38.73265902,1,Gonzaga,WCC,24.01194767,-12.32357558,36.01,Gonzaga,3.40758354,2.255056875,29.37889082,17.06572203
Grand Canyon,2020-21,5.122578139,1.568643788,6.691221927,114,Grand Canyon,WAC,1.911947674,-5.883575581,7.46,Grand Canyon,0.298798019,0.194670634,2.576123009,1.473220013
Hartford,2020-21,-2.255582301,3.617668051,1.36208575,186,Hartford,AEC,-5.088052326,-1.983575581,-3.44,Hartford,-0.785967355,0.582108627,-6.776311966,4.405256528
Houston,2020-21,17.09539994,12.24107321,29.33647315,6,Houston,AAC,18.55194767,-15.25357558,33.47,Houston,2.059088083,2.212657789,17.75267525,16.74485605
Illinois,2020-21,17.57934084,11.46205081,29.04139166,2,Illinois,Big Ten,19.10194767,-15.90357558,34.68,Illinois,2.130238926,2.065357007,18.36611079,15.63011956
Iona,2020-21,2.252982438,2.342694321,4.59567676,161,Iona,MAAC,-1.808052326,-1.593575581,-0.55,Iona,-0.123100919,0.341031314,-1.061329363,2.58084205
Iowa,2020-21,22.33782753,5.647913059,27.98574059,5,Iowa,Big Ten,24.75194767,-8.483575581,32.9,Iowa,2.829849842,0.965995761,24.39789034,7.310421003
Kansas,2020-21,8.464001773,11.45460952,19.91861129,21,Kansas,Big 12,10.44194767,-14.21357558,24.31,Kansas,0.790066904,2.063949975,6.811656719,15.61947148
Liberty,2020-21,12.49529099,1.08558328,13.58087427,108,Liberty,A-Sun,8.301947674,-0.483575581,8.45,Liberty,1.382762467,0.103331552,11.92165271,0.781988059
Loyola Chicago,2020-21,11.96548051,11.71308905,23.67856956,33,Loyola (IL),MVC,10.09194767,-14.06357558,23.82,Loyola (IL),1.304867703,2.112824356,11.25007364,15.98934091
LSU,2020-21,18.03141129,0.798943703,18.83035499,26,Louisiana State,SEC,19.43194767,-3.623575581,22.72,Louisiana St.,2.196704052,0.049132554,18.93914786,0.371823219
Maryland,2020-21,11.20295962,8.641185102,19.84414472,27,Maryland,Big Ten,12.52194767,-10.56357558,22.75,Maryland,1.192758966,1.531976036,10.2835147,11.59362208
Michigan,2020-21,17.87791683,10.67649743,28.55441426,3,Michigan,Big Ten,19.10194767,-15.28357558,34.05,Michigan,2.174136709,1.91682132,18.7445808,14.5060376
Michigan St.,2020-21,6.056242999,6.181080634,12.23732363,59,Michigan State,Big Ten,6.281947674,-9.643575581,15.6,Michigan St.,0.436068998,1.066809295,3.759621249,8.073353305
Missouri,2020-21,8.278592666,6.990525943,15.26911861,46,Missouri,SEC,9.821947674,-8.793575581,18.29,Missouri,0.762807348,1.219862566,6.57663518,9.231623241
Morehead St.,2020-21,1.673163725,5.761486479,7.434650204,155,Morehead State,OVC,-4.168052326,-4.523575581,0.02,Morehead St.,-0.208348085,0.987470694,-1.796298039,7.47293807
Mt. St. Mary's,2020-21,-0.643947458,0.991521332,0.347573874,190,Mount St. Mary's,NEC,-6.638052326,-2.733575581,-4.24,Mount St. Mary's,-0.549018635,0.085545929,-4.733430113,0.647390791
Norfolk St.,2020-21,0.943355176,-1.379798094,-0.436442918,210,Norfolk State,MEAC,-3.028052326,1.626424419,-4.98,Norfolk St.,-0.31564733,-0.362832968,-2.721391368,-2.745831666
North Carolina,2020-21,9.211836108,8.860986039,18.07282215,23,North Carolina,ACC,9.481947674,-14.23357558,23.38,North Carolina,0.900016369,1.573536907,7.759599237,11.90814465
North Texas,2020-21,6.518547221,6.730950952,13.24949817,83,North Texas,CUSA,3.761947674,-8.103575581,11.53,North Texas,0.504038734,1.170781051,4.345630487,8.860186277
Ohio,2020-21,13.40026106,1.381528719,14.78178978,95,Ohio,MAC (East),9.281947674,0.846424419,8.11,Ohio,1.51581463,0.159290141,13.06877791,1.205469053
Ohio St.,2020-21,20.13225915,3.470830602,23.60308975,8,Ohio State,Big Ten,21.07194767,-8.083575581,28.82,Ohio St.,2.505578742,0.554343994,21.6021481,4.195140538
Oklahoma,2020-21,12.70383859,6.787616012,19.4914546,40,Oklahoma,Big 12,11.25194767,-8.633575581,19.55,Oklahoma,1.413423933,1.181495516,12.18600422,8.941270736
Oklahoma St.,2020-21,11.08413836,9.408248325,20.49238669,35,Oklahoma State,Big 12,8.231947674,-12.21357558,20.11,Oklahoma St.,1.175289409,1.677015527,10.13289882,12.69124567
Oral Roberts,2020-21,7.80635063,-4.443966192,3.362384438,160,Oral Roberts,Summit,4.881947674,5.076424419,-0.54,Oral Roberts,0.693376517,-0.942218562,5.978028933,-7.130480942
Oregon,2020-21,16.50412831,4.126649332,20.63077765,42,Oregon,Pac-12,13.43194767,-6.933575581,20.04,Oregon,1.972157067,0.678348916,17.00318905,5.133579626
Oregon St.,2020-21,9.212423169,1.228818743,10.44124191,79,Oregon State,Pac-12,8.601947674,-3.383575581,11.65,Oregon St.,0.900102681,0.130415107,7.760343386,0.986949813
Purdue,2020-21,12.84803433,6.722968691,19.57100302,16,Purdue,Big Ten,13.81194767,-12.13357558,25.61,Purdue,1.434624142,1.169271732,12.36878437,8.848764118
Rutgers,2020-21,8.231835772,8.817785374,17.04962115,28,Rutgers,Big Ten,8.351947674,-13.79357558,21.81,Rutgers,0.755932971,1.565368346,6.517366909,11.84632697
San Diego St.,2020-21,12.73605131,11.41420754,24.15025885,32,San Diego State,MWC,9.841947674,-12.27357558,21.78,San Diego St.,1.41815997,2.056310603,12.22683654,15.56165857
Southern California,2020-21,12.74751318,8.876324783,21.62383797,17,Southern California,Pac-12,12.43194767,-13.01357558,25.11,Southern California,1.419845139,1.57643722,12.24136542,11.93009351
St. Bonaventure,2020-21,11.44283943,8.947113567,20.389953,29,St. Bonaventure,A-10,11.22194767,-12.59357558,23.48,St. Bonaventure,1.228027012,1.589822257,10.5875824,12.03138821
Syracuse,2020-21,12.45583534,5.345240019,17.80107536,39,Syracuse,ACC,12.40194767,-8.143575581,20.21,Syracuse,1.376961547,0.908765089,11.87163938,6.877313195
Tennessee,2020-21,10.47714535,12.43847942,22.91562477,12,Tennessee,SEC,9.881947674,-16.77357558,26.32,Tennessee,1.086046974,2.249984172,9.363484448,17.02733304
Texas,2020-21,13.28442538,7.995471423,21.2798968,24,Texas,Big 12,13.01194767,-10.71357558,23.39,Texas,1.498784024,1.409881819,12.9219465,10.66964274
Texas Southern,2020-21,-2.39554286,0.82827954,-1.567263321,247,Texas Southern,SWAC,-5.668052326,3.606424419,-9.6,Texas Southern,-0.806544892,0.054679495,-6.953723672,0.413801124
Texas Tech,2020-21,11.82145204,9.36458015,21.18603219,22,Texas Tech,Big 12,11.30194767,-13.36357558,24.33,Texas Tech,1.283692087,1.668758567,11.06750553,12.62875901
UC Santa Barbara,2020-21,8.937814186,5.673697789,14.61151197,92,UC-Santa Barbara,Big West,6.141947674,-4.883575581,10.69,UC-Santa Barbara,0.859728618,0.970871245,7.41225355,7.347317476
UCLA,2020-21,11.87248515,2.451515441,14.32400059,49,UCLA,Pac-12,12.74194767,-5.943575581,18.36,UCLA,1.29119517,0.361607662,11.13219426,2.736558847
UConn,2020-21,12.57199203,7.915082197,20.48707423,18,Connecticut,Big East,12.82194767,-12.17357558,24.66,Connecticut,1.394039348,1.394681491,12.01887769,10.55461036
UNC Greensboro,2020-21,7.10667275,6.657722814,13.76439556,113,North Carolina-Greensboro,Southern,1.131947674,-5.663575581,6.46,North Carolina-Greensboro,0.590507199,1.156934772,5.091128746,8.755401
Utah St.,2020-21,8.569758155,10.92302346,19.49278162,56,Utah State,MWC,4.311947674,-12.58357558,16.56,Utah St.,0.805615612,1.963435483,6.945711771,14.85880225
VCU,2020-21,3.700856014,11.43028312,15.13113914,50,Virginia Commonwealth,A-10,4.641947674,-14.12357558,18.43,Virginia Commonwealth,0.089770993,2.05935024,0.773971397,15.58466181
Villanova,2020-21,14.14607222,5.040243892,19.18631611,10,Villanova,Big East,18.48194767,-8.463575581,26.61,Villanova,1.625466639,0.851095159,14.01415588,6.440881183
Virginia,2020-21,15.24593146,7.163825992,22.40975746,20,Virginia,ACC,16.74194767,-9.913575581,26.32,Virginia,1.787172153,1.252630857,15.40831939,9.479605698
Virginia Tech,2020-21,10.04202163,7.616755831,17.65877746,41,Virginia Tech,ACC,10.29194767,-10.18357558,20.14,Virginia Tech,1.022073421,1.338272706,8.811928771,10.12772239
West Virginia,2020-21,15.72419563,6.691623358,22.41581899,25,West Virginia,Big 12,14.73194767,-8.583575581,22.98,West Virginia,1.857488381,1.163344827,16.0145592,8.80391074
Wichita St.,2020-21,9.059061981,1.930959467,10.99002145,69,Wichita State,AAC,8.231947674,-6.303575581,14.2,Wichita St.,0.877554932,0.263178783,7.565945263,1.991673025
Winthrop,2020-21,5.065512721,6.130701455,11.19621418,104,Winthrop,Big South,2.461947674,-4.923575581,7.05,Winthrop,0.290408043,1.057283391,2.503787823,8.001263582
Wisconsin,2020-21,10.37119028,10.50157601,20.87276629,14,Wisconsin,Big Ten,11.55194767,-15.08357558,26.3,Wisconsin,1.070469054,1.883746454,9.229177536,14.25573506
Louisiana Tech,,,,,,Louisiana Tech,,,,,Louisiana Tech,,,,